               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10255,            0.031933,            0.062351,           0.0031575,             0.56196,           0.0096248,           0.0026365,            0.065734,            0.017147,            0.051888,            0.070833,           0.0032407,           0.0032407
                   1,            0.070003,            0.034628,            0.058981,             0.11678,             0.21111,            0.085618,            0.037449,            0.049768,            0.014554,            0.048532,            0.040725,           0.0064656,           0.0064656
                   2,            0.061184,            0.028707,            0.053432,             0.11742,             0.10146,            0.075275,             0.03053,            0.049231,            0.011867,            0.046325,            0.010506,           0.0095805,           0.0095805
                   3,            0.056605,            0.027687,            0.052993,            0.083402,              0.2437,             0.12628,            0.054313,            0.049734,            0.010596,            0.046471,            0.009505,            0.009505,            0.009505
                   4,            0.053273,            0.026598,            0.053178,             0.12896,             0.35192,             0.15299,            0.069013,            0.045287,            0.010863,            0.044955,            0.009505,            0.009505,            0.009505
                   5,            0.050743,            0.026129,            0.048925,             0.16687,             0.43519,             0.18361,            0.089819,            0.044245,             0.01001,            0.041987,             0.00934,             0.00934,             0.00934
                   6,            0.049681,            0.025976,            0.049438,               0.172,             0.30944,             0.18695,            0.099597,            0.041199,            0.011018,            0.041752,            0.009175,            0.009175,            0.009175
                   7,            0.047308,            0.024117,              0.0478,              0.1684,             0.39072,             0.24158,             0.11409,            0.041955,            0.010099,             0.04365,             0.00901,             0.00901,             0.00901
                   8,            0.045565,            0.023545,              0.0435,             0.22934,             0.39652,             0.25027,             0.12458,            0.035647,            0.010008,            0.040974,            0.008845,            0.008845,            0.008845
                   9,            0.046523,            0.023979,            0.043417,              0.2267,             0.37413,             0.29652,             0.15975,            0.039714,            0.010582,            0.036947,             0.00868,             0.00868,             0.00868
                  10,            0.046989,            0.024495,            0.039905,             0.28965,             0.45592,             0.32714,              0.1798,            0.038939,            0.010031,            0.035057,            0.008515,            0.008515,            0.008515
                  11,            0.042606,             0.02309,            0.039136,             0.26517,             0.41989,             0.34565,             0.19054,             0.03906,           0.0096426,            0.035576,             0.00835,             0.00835,             0.00835
                  12,            0.046809,            0.023099,            0.039721,             0.29539,             0.48604,             0.35076,             0.17158,            0.039811,           0.0098823,            0.038356,            0.008185,            0.008185,            0.008185
                  13,             0.04095,            0.023116,            0.040096,             0.32648,             0.49034,             0.38327,             0.18417,            0.039904,           0.0097675,             0.03613,             0.00802,             0.00802,             0.00802
                  14,            0.042945,            0.022814,            0.036066,             0.45158,             0.43633,             0.42754,             0.23658,             0.03798,           0.0095221,            0.033414,            0.007855,            0.007855,            0.007855
                  15,            0.044406,            0.022611,            0.034254,             0.49189,              0.4507,              0.4265,             0.24902,            0.037948,           0.0093596,            0.033581,             0.00769,             0.00769,             0.00769
                  16,             0.04505,            0.022021,            0.034411,             0.32034,             0.46798,             0.41309,              0.2383,            0.039008,           0.0095625,            0.035467,            0.007525,            0.007525,            0.007525
                  17,            0.042874,            0.023457,            0.032122,             0.46485,             0.43491,             0.40662,             0.22062,            0.036916,           0.0094322,            0.034214,             0.00736,             0.00736,             0.00736
                  18,            0.040667,            0.022802,            0.036129,             0.41655,             0.49569,             0.47153,             0.25543,            0.036289,           0.0093776,            0.039578,            0.007195,            0.007195,            0.007195
                  19,            0.037285,            0.021879,            0.032207,             0.48694,             0.50317,             0.49763,             0.25199,            0.034932,           0.0096262,            0.038007,             0.00703,             0.00703,             0.00703
                  20,            0.040203,            0.022033,            0.030247,             0.54351,             0.43538,             0.44743,             0.25106,            0.032145,            0.009621,            0.039544,            0.006865,            0.006865,            0.006865
                  21,            0.038155,            0.021609,             0.03044,             0.72411,             0.46451,             0.51894,             0.30968,            0.030648,           0.0095581,            0.036014,              0.0067,              0.0067,              0.0067
                  22,            0.038584,            0.021807,            0.028606,             0.66706,             0.42774,             0.49655,             0.24888,            0.033515,           0.0093364,            0.041274,            0.006535,            0.006535,            0.006535
                  23,            0.037399,            0.021529,            0.029647,             0.50006,              0.4968,             0.54447,             0.31437,            0.032363,            0.008787,            0.034968,             0.00637,             0.00637,             0.00637
                  24,            0.038584,            0.021983,            0.031189,             0.39619,             0.54334,              0.5464,              0.3035,            0.032636,           0.0092533,            0.035246,            0.006205,            0.006205,            0.006205
                  25,            0.040007,            0.021481,            0.028824,             0.40079,             0.60294,             0.53255,              0.3029,            0.034014,           0.0089127,            0.036016,             0.00604,             0.00604,             0.00604
                  26,            0.038044,            0.020825,            0.027337,             0.52078,              0.5658,             0.57475,             0.34653,            0.034877,           0.0085248,             0.03455,            0.005875,            0.005875,            0.005875
                  27,            0.040093,            0.021287,            0.025473,              0.4214,             0.60533,             0.55009,              0.3152,            0.033644,           0.0086083,            0.035653,             0.00571,             0.00571,             0.00571
                  28,            0.035499,            0.021041,            0.026148,             0.42125,             0.59636,             0.53375,             0.33673,            0.033846,           0.0087739,            0.039797,            0.005545,            0.005545,            0.005545
                  29,            0.037537,            0.020959,            0.024708,             0.47521,             0.61414,             0.60792,             0.36642,            0.032762,           0.0086117,            0.038617,             0.00538,             0.00538,             0.00538
                  30,            0.035363,            0.020762,             0.02592,             0.50544,             0.61137,              0.6122,             0.37755,             0.03111,           0.0087972,            0.036172,            0.005215,            0.005215,            0.005215
                  31,            0.035283,            0.020543,            0.023436,             0.56166,              0.5678,             0.63823,             0.37156,            0.029731,           0.0087873,            0.035113,             0.00505,             0.00505,             0.00505
                  32,             0.03558,            0.021263,            0.023064,             0.52637,             0.62705,             0.61944,             0.38204,             0.03185,           0.0083143,            0.039619,            0.004885,            0.004885,            0.004885
                  33,            0.034917,            0.020062,            0.024396,             0.53538,             0.58769,             0.63416,             0.38976,            0.028484,           0.0084361,            0.036754,             0.00472,             0.00472,             0.00472
                  34,            0.033076,            0.019596,            0.023861,              0.5969,             0.54805,             0.61918,             0.39087,            0.030317,            0.008762,            0.041594,            0.004555,            0.004555,            0.004555
                  35,            0.033722,            0.020198,            0.021623,             0.53747,             0.64273,             0.65801,             0.41701,            0.031959,           0.0082693,            0.033357,             0.00439,             0.00439,             0.00439
                  36,            0.030833,            0.018788,            0.021786,             0.63147,             0.59843,             0.67028,             0.41559,            0.032991,           0.0080944,             0.03147,            0.004225,            0.004225,            0.004225
                  37,            0.032557,            0.020148,            0.019743,             0.69106,             0.58088,             0.67074,             0.43337,            0.029871,            0.007756,              0.0349,             0.00406,             0.00406,             0.00406
                  38,            0.032939,            0.019671,            0.021404,             0.62876,             0.68278,             0.69896,             0.46383,            0.028565,           0.0076349,            0.034556,            0.003895,            0.003895,            0.003895
                  39,            0.032093,            0.019387,            0.020264,             0.58239,             0.70499,             0.69276,             0.44702,            0.027685,           0.0074482,            0.035835,             0.00373,             0.00373,             0.00373
                  40,             0.03172,            0.018915,             0.01999,              0.7175,             0.69049,             0.75574,             0.50684,            0.027612,            0.007776,            0.030621,            0.003565,            0.003565,            0.003565
                  41,            0.031554,             0.01912,            0.020975,             0.68311,             0.71067,             0.75084,             0.48731,            0.025583,           0.0076018,            0.034135,              0.0034,              0.0034,              0.0034
                  42,            0.031991,            0.019776,            0.022495,             0.69612,             0.68526,             0.73409,             0.46853,            0.026308,           0.0076375,            0.037085,            0.003235,            0.003235,            0.003235
                  43,            0.030715,            0.018673,            0.018871,             0.71296,             0.72568,             0.74941,             0.50539,            0.025182,           0.0075132,            0.036311,             0.00307,             0.00307,             0.00307
                  44,            0.029653,            0.018673,            0.018582,              0.7921,             0.74013,              0.7995,             0.53508,            0.026721,           0.0075314,            0.030677,            0.002905,            0.002905,            0.002905
                  45,            0.029963,            0.019207,            0.019078,             0.79573,             0.65067,             0.78207,             0.52785,            0.026067,           0.0075144,            0.033559,             0.00274,             0.00274,             0.00274
                  46,            0.029908,            0.019499,            0.019107,             0.79031,             0.72757,             0.79629,              0.5327,             0.02661,           0.0073585,            0.029861,            0.002575,            0.002575,            0.002575
                  47,            0.028357,            0.018194,            0.015899,             0.78455,              0.7357,             0.79439,             0.54324,            0.026812,           0.0070996,            0.028739,             0.00241,             0.00241,             0.00241
                  48,            0.030066,            0.018919,            0.018025,             0.76738,             0.71722,             0.77834,             0.52777,            0.026888,           0.0072061,            0.031136,            0.002245,            0.002245,            0.002245
                  49,            0.026793,            0.018289,            0.015673,             0.78458,             0.71763,             0.78061,             0.53758,            0.027626,           0.0071269,            0.031082,             0.00208,             0.00208,             0.00208
                  50,            0.028868,            0.017856,            0.017453,             0.72204,             0.76794,             0.77712,             0.54338,            0.027281,           0.0071741,            0.030857,            0.001915,            0.001915,            0.001915
                  51,            0.026713,            0.016634,            0.015402,             0.75949,             0.74787,             0.77087,              0.5398,            0.026458,           0.0072717,             0.03406,             0.00175,             0.00175,             0.00175
                  52,             0.02901,            0.017888,            0.016616,             0.80228,             0.71539,             0.78236,             0.54175,            0.027285,           0.0071365,            0.031452,            0.001585,            0.001585,            0.001585
                  53,            0.027149,            0.017951,            0.015203,             0.76582,             0.74249,             0.79138,             0.54287,            0.025941,           0.0070479,             0.03369,             0.00142,             0.00142,             0.00142
                  54,            0.026751,            0.017543,            0.013658,             0.77657,             0.75838,             0.78565,             0.54792,            0.024832,           0.0072163,            0.035196,            0.001255,            0.001255,            0.001255
                  55,             0.02629,            0.018132,            0.014973,             0.78506,             0.76168,              0.7883,             0.54531,            0.025145,           0.0071601,            0.035427,             0.00109,             0.00109,             0.00109
                  56,            0.024902,            0.016612,            0.015164,             0.73636,             0.78711,             0.79045,             0.55739,            0.025062,           0.0071916,            0.036197,            0.000925,            0.000925,            0.000925
                  57,            0.024953,            0.017112,             0.01396,             0.73785,             0.77811,             0.78657,             0.55503,            0.024999,           0.0070868,            0.037043,             0.00076,             0.00076,             0.00076
                  58,            0.025121,            0.017408,            0.012297,             0.79533,             0.75421,             0.77749,             0.55011,            0.025052,           0.0070815,            0.037079,            0.000595,            0.000595,            0.000595
                  59,            0.025684,            0.017687,            0.017014,             0.76439,             0.77288,             0.78076,             0.54596,            0.025939,           0.0071236,            0.035823,             0.00043,             0.00043,             0.00043
